id,name,recclass,mass_grams,year,reclat,reclong,GeoLocation
294,Favars,H5,1500.0,1844,44.38333,2.8166700000000002,"(44.38333, 2.81667)"
295,Fayetteville,H4,2360.0,1934,36.05,-94.16667,"(36.05, -94.16667)"
296,Feid Chair,H4,380.0,1875,36.88333,8.45,"(36.88333, 8.45)"
297,Felix,CO3.3,3200.0,1900,32.53333,-87.16667,"(32.53333, -87.16667)"
298,Fenghsien-Ku,H5,82.0,1924,34.6,116.75,"(34.6, 116.75)"
299,Ferguson,OC,220.0,1889,36.1,-81.41667,"(36.1, -81.41667)"
300,Fermo,H3-5,10200.0,1996,43.18111,13.753329999999998,"(43.18111, 13.75333)"
301,Fisher,L6,17600.0,1894,47.81667,-96.85,"(47.81667, -96.85)"
302,Florence,H3,3640.0,1922,30.83333,-97.76666999999999,"(30.83333, -97.76667)"
303,Forest City,H5,152000.0,1890,43.25,-93.66667,"(43.25, -93.66667)"
304,Forest Vale,H4,26000.0,1942,-33.35,146.85833,"(-33.35, 146.85833)"
305,Forksville,L6,6067.0,1924,36.78333,-78.08333,"(36.78333, -78.08333)"
306,Forsbach,H6,240.0,1900,50.95,7.316669999999999,"(50.95, 7.31667)"
307,Forsyth,L6,16300.0,1829,33.01667,-83.96667,"(33.01667, -83.96667)"
309,Frankfort (stone),Howardite,650.0,1868,34.48333,-87.83333,"(34.48333, -87.83333)"
310,Fuhe,L5,23000.0,1945,31.475559999999998,113.56693999999999,"(31.47556, 113.56694)"
311,Fukutomi,L5,11620.0,1882,33.18333,130.2,"(33.18333, 130.2)"
313,Futtehpur,L6,4000.0,1822,25.95,80.81667,"(25.95, 80.81667)"
314,Fuyang,Stone-uncl,2500.0,1977,32.9,115.9,"(32.9, 115.9)"
315,Galapian,H6,132.7,1826,44.3,0.4,"(44.3, 0.4)"
316,Galim (a),LL6,36.1,1952,7.05,12.43333,"(7.05, 12.43333)"
317,Galim (b),EH3/4-an,28.0,1952,7.05,12.43333,"(7.05, 12.43333)"
318,Galkiv,H4,5000.0,1995,51.68333,30.78333,"(51.68333, 30.78333)"
